place,year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
Jada,2019,Jada,Adamawa,3.360943079,1134,39
Jajibiriri,2019,Yunusari,Yobe,1.621043682,1769,33
Jakusko,2019,Jakusko,Yobe,2.66908884,461,64
Jalam,2019,Damban,Bauchi,2.372395754,137,70
JALINGO,2019,Jalingo,Taraba,3.482585192,1609,36
JAMAARE,2019,Jama'are,Bauchi,3.470192671,1960,83
Jambako,2019,Maradun,Zamfara,3.605001926,489,94
Jarang,2019,Mayo Belwa,Adamawa,3.252654791,266,27
Jarmowo,2019,Giade,Bauchi,2.993375063,1014,78
JEBBA,2019,Moro,Kwara,3.946188211,630,65
Jega,2019,Jega,Kebbi,3.157309532,235,53
Jege,2019,Yagba East,Kogi,6.993865967,1148,90
Jen,2019,Lau,Taraba,2.698402405,243,51
Jere,2019,Kagarko,Kaduna,5.653100491,1830,44
Jiberu,2019,Girei,Adamawa,2.070662022,1218,76
Jibiya,2019,Jibia,Katsina,4.238712788,408,13
Jilli,2019,Gubio,Borno,2.113649845,1083,44
Jima,2019,Gbako,Niger,5.295445919,364,12
Jimeta,2019,Yola North,Adamawa,2.312783718,164,56
Jinjere,2019,Kogi,Kogi,8.43661499,995,23
JOS,2019,Jos North,Plateau,4.598236561,1287,9
KABBA,2019,Kabba/Bunu,Kogi,7.95664072,1525,7
Kabogi,2019,Mashegu,Niger,3.934794426,291,55
Kachako,2019,Takai,Kano,4.138249397,565,71
Kachia,2019,Kachia,Kaduna,5.513823509,760,41
Kadagiwa,2019,Wurno,Sokoto,3.337964773,1607,44
Kadaura,2019,Birnin Gwari,Kaduna,4.611660004,268,93
Kade,2019,Shanga,Kebbi,3.137124777,1389,27
KADUNA,2019,Kaduna North,Kaduna,5.24885273,1054,63
KAFANCHAN,2019,Jema'a,Kaduna,6.023170948,1126,72
Kafin,2019,Paikoro,Niger,5.690109253,1185,9
Kagarko,2019,Kagarko,Kaduna,5.540463924,304,62
Kaiama,2019,Kaiama,Kwara,2.785139322,889,54
Kaingwa,2019,Arewa,Kebbi,2.638069153,1518,89
Kainyehu,2019,Toto,Nasarawa,8.605289459,1357,61
Kajiji,2019,Shagari,Sokoto,3.051064253,967,71
Kakangi,2019,Birnin Gwari,Kaduna,3.619710207,1221,99
Kala Kafra,2019,Kala/Balge,Borno,1.046481133,1565,66
Kalgo,2019,Kalgo,Kebbi,2.875824213,1681,16
Kali,2019,Borgu,Niger,3.351671457,1790,65
Kalmai,2019,Billiri,Gombe,2.91497612,726,85
Kamba,2019,Dandi,Kebbi,2.581623554,1627,50
KANGI,2019,Shanga,Kebbi,3.463267565,853,74
Kankara,2019,Kankara,Katsina,4.798938751,329,90
Kankiya,2019,Kankia,Katsina,4.20554018,260,36
Kanya Baba,2019,Babura,Jigawa,4.406686783,868,15
Karagu,2019,Yunusari,Yobe,1.665574312,130,10
Karama,2019,Gagarawa,Jigawa,3.951648474,570,75
Karauchi,2019,Maru,Zamfara,3.979547739,466,62
Karaye,2019,Karaye,Kano,4.779988289,1598,24
Kare,2019,Fika,Yobe,2.434876442,283,15
Kariari,2019,Bursari,Yobe,2.163092613,977,16
Karim Lamido,2019,Karim-Lamido,Taraba,3.116457701,1419,19
Karo,2019,Mokwa,Niger,3.538619518,602,92
Karshi,2019,Abuja Municipal,Federal Capital Territory,6.933373451,1836,97
Karunji,2019,Baruten,Kwara,2.261215925,1610,39
Kataergi,2019,Katcha,Niger,5.34398365,1452,69
Katagum,2019,Zaki,Bauchi,3.008033752,500,67
Katami,2019,Silame,Sokoto,2.428056955,1528,82
Katamma,2019,Jakusko,Yobe,2.31306076,1230,97
KATSINA,2019,Katsina,Katsina,3.524254322,380,92
KATSINA ALA,2019,Katsina Ala,Benue,7.58350563,1890,37
Kaugama,2019,Kaugama,Jigawa,3.278218746,614,49
Kaura Namoda,2019,Kaura Namoda,Zamfara,3.6126194,1025,90
Kazaure,2019,Kazaure,Jigawa,4.149311543,1633,96
Keana,2019,Keana,Nasarawa,7.134374142,1350,7
Kebbe,2019,Kebbe,Sokoto,3.676162481,1853,11
KEFFI,2019,Keffi,Nasarawa,6.717299938,975,76
Keffin Hausa,2019,Kafin Hausa,Jigawa,3.635430098,1238,70
Kembu,2019,Ngaski,Kebbi,3.301533222,532,79
Kende,2019,Bagudo,Kebbi,3.261758327,1345,31
Kenu,2019,Baruten,Kwara,2.809337139,1022,29
Kerun,2019,Bukkuyum,Zamfara,3.825946808,1507,5
Kesangala,2019,Nganzai,Borno,0.999391079,472,45
Kilogbe,2019,Baruten,Kwara,2.736155748,121,95
Kinsha,2019,Gamawa,Bauchi,2.769154072,1710,39
Kiri,2019,Shelleng,Adamawa,2.170620203,1867,8
Kirikasama,2019,Kiri Kasama,Jigawa,3.065323591,1164,87
KISHI,2019,Irepo,Oyo,3.396761894,898,36
Kiyawa,2019,Kiyawa,Jigawa,4.03219223,1178,71
Kogin Baba,2019,Toungo,Adamawa,4.34239006,1108,89
KOKO,2019,Shanga,Kebbi,2.9276402,738,89
Kokori,2019,Ethiope East,Delta,7.331440449,627,91
Kokuwa,2019,Gulani,Yobe,2.180687666,171,43
Kombo,2019,Balanga,Gombe,2.541120291,279,75
Konduga,2019,Konduga,Borno,1.429564357,944,89
Konkul,2019,Maiha,Adamawa,1.041720033,410,59
Konkwesso,2019,Borgu,Niger,2.479799271,1194,47
KONTAGORA,2019,Kontagora,Niger,3.367691517,1579,36
Kotonkoro,2019,Mariga,Niger,3.778912544,372,23
Kubacha,2019,Kagarko,Kaduna,6.270701885,582,32
Kubli,2019,Borgu,Niger,2.285970211,466,18
Kudan,2019,Kudan,Kaduna,4.172595024,779,61
Kujakwa,2019,Kuje,Federal Capital Territory,7.208577156,1771,72
Kuje,2019,Abuja Municipal,Federal Capital Territory,6.472939491,985,61
Kukawa,2019,Kukawa,Borno,1.22585535,1136,58
Kumagunnam,2019,Yusufari,Yobe,2.606399775,632,63
Kumshe,2019,Bama,Borno,0.726484239,1251,39
Kumuo,2019,Shira,Bauchi,3.658173323,737,49
Kunchi,2019,Kunchi,Kano,4.750281811,898,23
Kunya,2019,Minjibir,Kano,4.271630287,925,64
Kura,2019,Kura,Kano,4.616938114,140,81
Kurama Suko,2019,Fakai,Kebbi,3.321303129,1266,92
Kurdula,2019,Gudu,Sokoto,1.91108191,1914,78
Kurfi,2019,Kurfi,Katsina,3.828155041,639,71
Kurua,2019,Tureta,Sokoto,3.600868464,1194,87
Kurugin Maidowa,2019,Mariga,Niger,4.553456783,871,99
Kurukuru,2019,Sabon Birni,Sokoto,2.642690659,1820,61
Kusheriki,2019,Rafi,Niger,3.857077837,452,6
Kutigi,2019,Lavun,Niger,4.784640312,362,88
Kutiluko,2019,Agaie,Niger,5.89111042,1721,10
Kutiwenji,2019,Lavun,Niger,4.547416687,1203,87
Kwadaga,2019,Birnin Gwari,Kaduna,4.339933872,1284,59
Kwajaffa Babur,2019,Hawul,Borno,0.70742476,1451,81
Kwali,2019,Kwali,Federal Capital Territory,6.765789986,1048,25
Kware,2019,Kware,Sokoto,3.375440598,1684,41
Kwiambana,2019,Maru,Zamfara,3.823361397,609,38
Kwolla,2019,Qua'an Pan,Plateau,6.058555126,1094,47
Lafagu,2019,Bagudo,Kebbi,2.635455608,1471,24
Lafia,2019,Dekina,Kogi,9.187107086,115,16
LAFIAGI,2019,Edu,Kwara,5.382286549,918,36
LAGOS,2019,Eti-Osa,Lagos,7.051638126,1803,20
Lalupon,2019,Lagelu,Oyo,6.048859596,1176,55
Lame,2019,Toro,Bauchi,4.470075607,369,63
Laminga,2019,Nasarawa,Nasarawa,7.437555313,1401,28
Langtang,2019,Langtang North,Plateau,5.374967575,300,6
Lanlate,2019,Ibarapa East,Oyo,5.763302803,1347,45
Lantewa,2019,Tarmuwa,Yobe,1.773983002,1454,58
Lapai,2019,Lapai,Niger,6.188916206,103,34
Lau,2019,Lau,Taraba,3.449784279,1236,17
Lema,2019,Arewa,Kebbi,2.749907732,275,58
LERE,2019,Tafawa Balewa,Bauchi,4.751988411,1872,87
Letugbene,2019,Ekeremor,Bayelsa,5.932095528,1763,95
Libba,2019,Maiyama,Kebbi,3.040491819,1131,77
Limanti,2019,Mafa,Borno,1.333454967,1414,21
Little Gombi,2019,Gombi,Adamawa,1.647208452,794,25
Ljaiye,2019,Itesiwaju,Oyo,4.019364357,1785,7
LOGOMANI,2019,Ngala,Borno,1.110242963,1197,42
LOKOJA,2019,Lokoja,Kogi,9.141359329,1940,15
Lollo,2019,Bagudo,Kebbi,3.176756859,1303,14
Madalla,2019,Suleja,Niger,6.423374653,1279,30
Madara,2019,Katagum,Bauchi,2.681931019,281,89
Mafa,2019,Mafa,Borno,1.390221596,1765,36
Magami,2019,Gusau,Zamfara,4.083346367,1581,70
Magumeri,2019,Magumeri,Borno,1.503835917,1197,47
Mahuta,2019,Fakai,Kebbi,3.357391357,1143,100
Mai Gora,2019,Faskari,Katsina,4.216255188,1306,26
MAIDUGURI,2019,Maiduguri,Borno,1.106203437,1110,34
Maigatari,2019,Maigatari,Jigawa,3.264140368,610,99
Maiha,2019,Maiha,Adamawa,1.240718365,1326,80
Maimadi,2019,Alkaleri,Bauchi,2.916703939,1736,88
Mainok,2019,Kaga,Borno,1.389962912,539,40
Maiyema,2019,Maiyama,Kebbi,2.625188589,1021,14
MAKURDI,2019,Makurdi,Benue,8.171247482,1074,35
Mala,2019,Gassol,Taraba,5.295018196,1447,34
Malissa,2019,Gwandu,Kebbi,2.844979763,1265,51
Mallamji,2019,Tureta,Sokoto,3.376835585,172,20
Malum Maja,2019,Dikwa,Borno,1.245988846,388,46
Malumfashi,2019,Malumfashi,Katsina,4.526697159,450,21
Mamu,2019,Ijebu North,Ogun,6.73553133,733,48
Manegi,2019,Mashegu,Niger,4.013858318,1752,83
Mani,2019,Mani,Katsina,4.310801506,1871,26
Manmagi,2019,Gbako,Niger,5.08147192,1993,18
Manu,2019,Tangaza,Sokoto,2.162895679,1817,20
Maradun,2019,Maradun,Zamfara,3.768804789,829,25
Marafa,2019,Fakai,Kebbi,3.169974089,891,99
Mararaba,2019,Donga,Taraba,6.051620007,1510,64
Marguba,2019,Kaga,Borno,1.331534386,741,7
Marnona,2019,Wurno,Sokoto,3.007324219,1865,52
Marte,2019,Marte,Borno,1.070676088,1194,33
Masba,2019,Konduga,Borno,0.860976696,1553,5
Mashe,2019,Edu,Kwara,5.054499149,384,44
Matani,2019,Toto,Nasarawa,7.992459774,421,71
Matari,2019,Soba,Kaduna,4.926345348,444,69
Mato,2019,Shendam,Plateau,5.803721905,508,16
Matsena,2019,Machina,Yobe,2.90694499,1506,92
Mayaki,2019,Lapai,Niger,6.36800766,329,98
Mayo Faran,2019,Mayo Belwa,Adamawa,2.949383497,432,43
Mayo Lope,2019,Demsa,Adamawa,2.558722734,908,11
Mayo Ndaga,2019,Sardauna,Taraba,5.032880306,1108,80
Mbara,2019,Vandeikya,Benue,7.560457706,1441,9
Meko,2019,Imeko Afon,Ogun,5.26997757,866,94
Meori,2019,Yusufari,Yobe,2.440988064,1975,16
MINNA,2019,Chanchaga,Niger,5.371976376,1105,13
Miringa,2019,Biu,Borno,2.122040033,692,94
Misau,2019,Misau,Bauchi,2.644081831,1469,68
Miya,2019,Ganjuwa,Bauchi,3.450094223,950,9
Mogo,2019,Agwara,Niger,3.124155521,382,24
MOKWA,2019,Mokwa,Niger,4.474303722,716,60
Monguno,2019,Monguno,Borno,1.028679729,1818,65
Moniya,2019,Akinyele,Oyo,6.044640064,1610,12
Monkin,2019,Zing,Taraba,3.088081598,390,47
Mopa,2019,Mopa Muro,Kogi,7.143419266,1379,55
Moriki,2019,Zurmi,Zamfara,3.750204563,297,95
Moroa,2019,Akwanga,Nasarawa,6.40180397,1005,87
Mosalachi,2019,Mokwa,Niger,6.091187,1040,94
Moshi,2019,Kaiama,Kwara,2.937144518,921,90
Mubi,2019,Mubi South,Adamawa,0.96128726,1287,89
Muduru,2019,Mani,Katsina,4.232502937,328,71
Mule,2019,Mashegu,Niger,3.567730427,334,88
Mulgai,2019,Damboa,Borno,0.608369291,1321,41
Mungadi,2019,Maiyama,Kebbi,2.756097555,1353,20
Murba,2019,Damaturu,Yobe,1.83000803,101,67
Muri,2019,Karim-Lamido,Taraba,3.952542782,1525,35
Musawa,2019,Musawa,Katsina,4.544187069,1899,35
Mutum Biyu,2019,Gassol,Taraba,4.473721504,651,30
Mutumji,2019,Maru,Zamfara,3.888392925,483,60
Muya,2019,Birnin Gwari,Kaduna,4.287247181,1841,46
NAFADA,2019,Nafada,Gombe,2.157725096,612,17
Namu,2019,Qua'an Pan,Plateau,6.469375134,222,8
Nasarawa,2019,Shanga,Kebbi,3.443172932,905,29
NASARAWA,2019,Nasarawa,Nasarawa,2.672431469,592,22
Nasarawa,2019,Bukkuyum,Zamfara,7.534760475,835,100
Ndashe,2019,Lapai,Niger,6.963039398,1345,19
Ngamdu,2019,Kaga,Borno,1.631370544,535,17
Ngelewa,2019,Marte,Borno,1.15261066,1542,57
Ngurore,2019,Yola South,Adamawa,2.427423954,1479,20
NGURU,2019,Nguru,Yobe,2.957452536,1026,94
Nikrowa,2019,Ovia South-West,Edo,8.029588699,501,76
Ningi,2019,Ningi,Bauchi,4.45105505,1483,76
Nsukka,2019,Nsukka,Enugu,8.902832985,1329,92
Nugmagi,2019,Lapai,Niger,7.429546356,1432,10
Nugurosoye,2019,Bama,Borno,1.533705354,1866,44
Numan,2019,Numan,Adamawa,2.05453825,669,14
Obi,2019,Obi,Nasarawa,6.629562378,1379,17
Obudu,2019,Obudu,Cross River,7.319513798,298,44
Odenyi,2019,Bassa,Kogi,8.739015579,1581,17
Odo-Ogun,2019,Oyo West,Oyo,5.063353539,962,16
OFFA,2019,Offa,Kwara,6.079565048,1685,8
OGBOMOSHO,2019,Ogbomosho North,Oyo,4.77725029,1601,71
Ogboro,2019,Saki East,Oyo,3.48107028,1479,41
Ogidigbe,2019,Warri South West,Delta,6.341909409,1795,69
OGOJA,2019,Ogoja,Cross River,8.025865555,1179,94
Ogunbayo,2019,Ifelodun,Kwara,5.245650768,385,73
Oji River Settlement,2019,Oji River,Enugu,9.138205528,962,71
Okarki,2019,Ahoada West,Rivers,6.912302494,906,80
Oke Igbira,2019,Ikole,Ekiti,7.295372963,511,70
OKE-IHO,2019,Kajola,Oyo,4.434852123,1334,35
Oke-Ile,2019,Iwajowa,Oyo,4.735903263,1287,48
Okeluse,2019,Ovia North-East,Edo,8.560508728,1241,85
Oke-Mesi,2019,Ekiti West,Ekiti,6.175763607,1599,21
OKENE,2019,Adavi,Kogi,8.866728783,613,49
Okha,2019,Ovia South-West,Edo,8.243690491,643,8
Okigwi,2019,Okigwe,Imo,8.24519062,1307,78
Okitipupa,2019,Okitipupa,Ondo,7.529883385,728,97
Okolushe-Egboro,2019,Pategi,Kwara,5.94535923,1764,5
Okpari,2019,Ughelli South,Delta,8.081548691,524,59
Okpiniama,2019,Ogbia,Bayelsa,6.115339279,1822,15
Okum Alfa,2019,Eti-Osa,Lagos,6.515800476,1103,53
Okumbiri,2019,Brass,Bayelsa,4.900632858,1410,23
Okuta,2019,Baruten,Kwara,2.820033073,317,24
Okwele,2019,Onuimo,Imo,8.488750458,311,84
Ola,2019,Abeokuta North,Ogun,5.50928688,193,70
Olojudro,2019,Oluyole,Oyo,6.565086842,849,76
Olugo,2019,Ankpa,Kogi,8.919364929,1885,96
Omolomo,2019,Warri North,Delta,6.329284191,860,68
Omu-Aran,2019,Irepodun,Kwara,5.716700077,461,32
Omuo,2019,Ekiti East,Ekiti,7.262189865,1950,47
ONDO,2019,Ondo West,Ondo,7.509753704,339,47
ONITSHA,2019,Onitsha North,Anambra,9.008273125,488,22
Ora,2019,Ovia North-East,Edo,7.767461777,469,57
Orah,2019,Ovia South-West,Edo,7.375878334,1518,13
Ore,2019,Odigbo,Ondo,7.589573383,262,100
Oro,2019,Irepodun,Kwara,5.170293808,1135,98
Orogun,2019,Ndokwa West,Delta,7.747678757,643,97
Oron,2019,Oron,Akwa Ibom,5.544958591,534,56
Oru,2019,Ijebu North,Ogun,6.858205795,1673,69
Osenseni,2019,Kogi,Kogi,7.748030186,1797,14
OSHOGBO,2019,Osogbo,Osun,5.675902843,1262,61
Osi,2019,Ekiti,Kwara,6.179551125,1873,7
Otuan,2019,Southern Ijaw,Bayelsa,6.767855167,729,52
Otun,2019,Moba,Ekiti,6.469175339,1398,93
Oturkpo,2019,Otukpo,Benue,8.777227402,1264,52
Oviri,2019,Okpe,Delta,7.556615829,1520,85
Owerri,2019,Owerri Municipal,Imo,7.71399641,1469,33
OWO,2019,Owo,Ondo,8.319565773,654,21
OYO,2019,Oyo East,Oyo,5.697201729,466,22
Pai,2019,Wushishi,Niger,4.733541489,1436,42
Paiko,2019,Paikoro,Niger,4.948209286,720,96
Pambeguwa,2019,Kubau,Kaduna,5.193119049,717,66
Pandam,2019,Karu,Nasarawa,6.044971943,1740,75
Pandogari,2019,Rafi,Niger,4.755540371,1952,52
PANKSHIN,2019,Pankshin,Plateau,5.295307636,970,26
Panyam,2019,Mangu,Plateau,5.878828049,551,11
Papalanto,2019,Ewekoro,Ogun,6.786425114,448,5
Pari,2019,Kajuru,Kaduna,5.407239914,1177,67
Pate,2019,Abaji,Federal Capital Territory,6.757242203,669,20
Pategi,2019,Pategi,Kwara,6.084985256,1616,29
Pinau,2019,Wase,Plateau,4.93425703,792,23
Pizhi,2019,Lavun,Niger,4.265739441,720,95
PORT HARCOURT,2019,Port Harcourt,Rivers,6.330337524,845,79
POTISKUM,2019,Potiskum,Yobe,2.613319397,1611,6
Pupanyunyu,2019,Askira/Uba,Borno,0.657591939,1659,72
Putuk,2019,Alkaleri,Bauchi,3.026108503,1428,10
Rafin Dinga,2019,Ningi,Bauchi,4.212717056,1447,67
Rafin Tsaka,2019,Arewa,Kebbi,2.776680708,549,18
Rahama,2019,Lere,Kaduna,5.249154568,1462,47
RAKA,2019,Gwadabawa,Sokoto,2.575487375,1813,84
Randeggi,2019,Birnin Gwari,Kaduna,4.413412571,276,48
Rano,2019,Rano,Kano,4.525557995,650,22
Rauta,2019,Bauchi,Bauchi,3.826229334,1111,99
Rijau,2019,Rijau,Niger,3.043257236,867,36
RINGIM,2019,Ringim,Jigawa,4.28076601,217,80
Rinjim Mukur,2019,Toro,Bauchi,4.930802345,1225,82
Ruan Badu,2019,Maradun,Zamfara,3.603338242,1328,91
Rurum,2019,Rano,Kano,4.884893894,883,63
Rusu,2019,Gusau,Zamfara,4.479345322,1104,40
Ruwan Doruwa,2019,Bungudu,Zamfara,3.499795437,1672,8
Ruwan Jema,2019,Bukkuyum,Zamfara,3.770322084,1876,19
Sabon Birni,2019,Igabi,Kaduna,4.903949738,1153,76
Sabon Gari,2019,Toro,Bauchi,2.503273964,214,65
Sabon Gari,2019,Darazo,Bauchi,2.839788675,664,10
Sabon Gari,2019,Koko/Besse,Kebbi,4.316576958,340,14
Sabon Gida,2019,Borgu,Niger,3.117583275,421,19
Sade,2019,Darazo,Bauchi,3.454335451,1766,40
Saforogbon,2019,Ese Odo,Ondo,7.840102673,544,96
Sainyinan Daji,2019,Tambuwal,Sokoto,3.137497425,1258,12
Sakaba,2019,Sakaba,Kebbi,4.320586205,1456,76
Sakke,2019,Wasagu/Danko,Kebbi,3.64643693,1580,5
Sakwabe,2019,Arewa,Kebbi,2.390062332,500,79
Salka,2019,Magama,Niger,3.468227148,849,20
Samamiya,2019,Gwaram,Jigawa,3.671329975,1860,17
Samia,2019,Bagudo,Kebbi,2.630064726,1913,71
Sanbi,2019,Bagudo,Kebbi,2.190721035,192,76
Sansanne,2019,Gassol,Taraba,5.198134899,1272,14
Sanusi,2019,Odeda,Ogun,6.090777874,1921,88
SAPELE,2019,Sapele,Delta,7.481194973,356,15
SARKIN PAWA,2019,Muya,Niger,4.979757309,1003,31
Sauri,2019,Tsafe,Zamfara,4.18108511,1431,18
Sendirdi,2019,Gassol,Taraba,5.019771576,1541,86
Serti,2019,Gashaka,Taraba,5.143978596,440,16
Shagamu,2019,Shagamu,Ogun,6.956121445,1080,69
SHAKI,2019,Saki West,Oyo,3.621638298,1337,80
Shamaki,2019,Ningi,Bauchi,3.83850956,1177,21
Shani,2019,Shani,Borno,2.072931767,1172,30
Shanono,2019,Shanono,Kano,4.523357391,1410,84
Share,2019,Ifelodun,Kwara,4.373766899,787,59
Shemankar,2019,Shendam,Plateau,5.856216431,794,49
Shendam,2019,Shendam,Plateau,5.667319298,989,34
Shika,2019,Mokwa,Niger,3.452077389,1308,77
Shinaka,2019,Goronyo,Sokoto,2.833513021,1413,18
Shiwun,2019,Obafemi Owode,Ogun,6.316925526,1566,75
Shomulekiri,2019,Kabba/Bunu,Kogi,7.00933218,1278,20
Shonga,2019,Edu,Kwara,4.743971825,1067,68
Siluko,2019,Ovia South-West,Edo,7.51580286,1294,86
Sitti,2019,Sumaila,Kano,4.638226986,1802,75
Soba,2019,Soba,Kaduna,4.98139143,1933,9
Sofo-Birnin-Gwari,2019,Birnin Gwari,Kaduna,4.096127987,314,23
Sogaga,2019,Kubau,Kaduna,4.934545994,426,20
SOKOTO,2019,Sokoto South,Sokoto,2.516140699,999,28
Song,2019,Song,Adamawa,1.367686629,179,27
Sugu,2019,Ganye,Adamawa,3.455443859,1715,65
Sumaila,2019,Sumaila,Kano,4.616275311,1770,88
Suntai,2019,Bali,Taraba,5.095786095,186,65
Suru,2019,Suru,Kebbi,2.987381935,1282,76
Suya,2019,Baruten,Kwara,2.757939339,306,88
Swate,2019,Borgu,Niger,2.546294212,1022,9
Tafawa Balewa,2019,Tafawa Balewa,Bauchi,4.089773178,1184,73
Takai,2019,Takai,Kano,4.265031338,217,82
Taki,2019,Kabba/Bunu,Kogi,7.699167252,1807,79
TAKUM,2019,Takum,Taraba,6.411735058,1687,94
Takura,2019,Kwali,Federal Capital Territory,7.139117718,1986,40
Takuti,2019,Lapai,Niger,5.666743279,324,61
Talata Mafara,2019,Talata Mafara,Zamfara,4.204727173,1221,40
Tando,2019,Abaji,Federal Capital Territory,6.379205704,1890,62
Tapa,2019,Ibarapa North,Oyo,5.790859222,1749,98
Tapkin Fuss,2019,Gudu,Sokoto,2.119613886,1790,31
Taramal,2019,Alkaleri,Bauchi,4.252975941,1987,22
Tegina,2019,Rafi,Niger,4.688066483,1805,36
Tepe,2019,Fufure,Adamawa,1.460151672,1008,40
Tilli,2019,Bunza,Kebbi,2.90316391,282,62
Tongo,2019,Funakaye,Gombe,2.278476715,899,99
Tor Donga,2019,Katsina Ala,Benue,6.858125687,1762,17
Toto,2019,Toto,Nasarawa,7.698137283,958,38
Toungo,2019,Toungo,Adamawa,3.523874998,403,30
Tsamiya,2019,Tureta,Sokoto,3.233680725,1905,49
Tsanni,2019,Batagarawa,Katsina,3.938323498,572,59
Tswafu,2019,Mashegu,Niger,3.955810308,1423,53
Tudun Quardo,2019,Chikun,Kaduna,4.358398438,589,35
Tudun Wada,2019,Tudun Wada,Kano,4.618878365,566,74
Tukudawa,2019,Isa,Sokoto,3.514355659,822,38
Tundun Sakwa,2019,Chikun,Kaduna,4.760113239,789,7
Tunga Laila,2019,Shanga,Kebbi,2.869585514,1602,47
Tungan Gimba,2019,Lafia,Nasarawa,7.010234356,614,81
Udubo,2019,Gamawa,Bauchi,2.891025782,819,52
Ugbenu,2019,Ethiope West,Delta,8.473369598,300,14
Ugep,2019,Yakuur,Cross River,7.958916187,470,95
Ugumji,2019,Ganjuwa,Bauchi,3.421114683,436,45
Uke,2019,Karu,Nasarawa,6.905031681,689,98
Ukehe,2019,Igbo Etiti,Enugu,9.227944374,998,94
Ulmiri,2019,Yusufari,Yobe,2.39133811,131,33
Umuahia,2019,Umuahia North,Abia,8.146280289,1136,6
Umunede,2019,Ika North East,Delta,8.389362335,788,67
Ungwan Zakara,2019,Birnin Gwari,Kaduna,4.499303818,1120,99
Ungwar Amere,2019,Jema'a,Kaduna,6.330068588,1437,8
Unkwoi,2019,Mariga,Niger,3.763541937,1532,44
UROMI,2019,Esan North-East,Edo,8.557468414,401,83
Uvbe,2019,Uhunmwonde,Edo,8.574811935,329,92
Uyanga Okpo Usun,2019,Akamkpa,Cross River,6.413171768,1149,19
Uyo,2019,Uyo,Akwa Ibom,5.8743186,1216,59
Uzawo,2019,Mariga,Niger,3.686323881,487,8
Wamdewo,2019,Askira/Uba,Borno,1.124550939,1363,65
Wamuri,2019,Konduga,Borno,1.384268045,609,100
Warari,2019,Rijau,Niger,3.12810111,1609,34
WARRI,2019,Warri South,Delta,7.832743168,166,10
Waru,2019,Abuja Municipal,Federal Capital Territory,6.762448788,135,53
Wasagu,2019,Wasagu/Danko,Kebbi,3.72130394,706,90
WAWA,2019,Borgu,Niger,2.809785128,1141,39
Waya,2019,Kwande,Benue,7.066430092,782,37
Worumokato,2019,Kaiama,Kwara,3.299201012,1090,38
Wudil,2019,Wudil,Kano,4.34700489,688,12
WUKARI,2019,Wukari,Taraba,6.632954597,1381,76
Wurianka,2019,Shelleng,Adamawa,2.362389326,638,80
Wurio,2019,Gassol,Taraba,5.342296124,1203,38
Wurno,2019,Wurno,Sokoto,2.178113937,219,47
Wuro Yolde,2019,Fufure,Adamawa,1.91693306,506,30
WUYA,2019,Mokwa,Niger,5.773270607,1249,81
Wuyo,2019,Bayo,Borno,2.718363762,673,58
Yajiwa,2019,Konduga,Borno,1.575720668,1356,12
Yako,2019,Kiru,Kano,4.733902931,388,100
Yalowo,2019,Idanre,Ondo,8.135547638,739,48
Yan Tumaki,2019,Dan Musa,Katsina,4.404351234,901,13
Yango,2019,Talata Mafara,Zamfara,4.069185257,1070,73
Yashikera,2019,Baruten,Kwara,2.469722033,1938,96
Yasku,2019,Magumeri,Borno,1.505861044,471,29
Yekami,2019,Ife South,Osun,6.635341167,1649,11
Yenagoa,2019,Yenagoa,Bayelsa,6.831411839,241,75
Yola,2019,Yola North,Adamawa,1.99196732,1822,78
Yusufari,2019,Yusufari,Yobe,2.19630003,1121,50
Zaki Biam,2019,Ukum,Benue,6.904267311,256,59
Zari,2019,Mobbar,Borno,1.556397676,1788,94
ZARIA,2019,Zaria,Kaduna,4.655302048,690,39
Zeddi,2019,Jakusko,Yobe,2.480970383,1697,76
Zenabi,2019,Doguwa,Kano,4.728485584,1696,40
Zhiru,2019,Karim-Lamido,Taraba,4.009506702,526,60
Zindiwa,2019,Gamawa,Bauchi,2.461266279,1427,24
Zogodo,2019,Tarmuwa,Yobe,1.85457027,909,59
Zongon Daji,2019,Adavi,Kogi,8.441375732,1701,86
Zugurma,2019,Mashegu,Niger,3.907899857,182,7
ZUNGERU,2019,Wushishi,Niger,4.383972645,1208,44
Zurak,2019,Wase,Plateau,3.584316254,683,44
Zurmi,2019,Zurmi,Zamfara,4.045063019,1875,13
Zuru,2019,Zuru,Kebbi,3.593581438,815,21
ABA,2020,Aba South,Abia,7.49416399,1989,10
Abakaliki,2020,Ebonyi,Ebonyi,8.644852638,1223,97
Abaragba,2020,Ikom,Cross River,7.057402134,1997,56
ABEOKUTA,2020,Abeokuta South,Ogun,5.700720787,1064,33
Abong,2020,Kurmi,Taraba,5.259340286,905,56
ABUJA,2020,Abuja Municipal,Federal Capital Territory,6.541873932,1425,45
Addo,2020,Iseyin,Oyo,5.254435539,1180,68
Adebka,2020,Bukkuyum,Zamfara,3.54424715,624,22
Ado,2020,Ado-Odo/Ota,Ogun,6.078956127,1334,51
Ado-Ekiti,2020,Ado Ekiti,Ekiti,6.759675026,1063,100
Afikpo,2020,Afikpo North,Ebonyi,7.924198627,211,42
Agam,2020,Kajuru,Kaduna,5.357697487,1735,41
Agbado,2020,Gbonyin,Ekiti,7.827849388,1121,94
